dim,train_loss,val_loss,lpca,corr,twoNN,actual
2,930.6154642578125,929.1056959635416,1.0,0.7209567202060894,0.8677440582719544,1
3,640.000821875,638.6086487630208,1.0,1.8795420642870981,1.9645621353058744,2
4,653.739941015625,654.389935546875,2.0,1.8847823887218391,1.9821616915709208,2
5,705.6449791015625,704.4510442708333,2.0,1.8406757044155493,1.9480042608299324,2
6,328.8831205078125,329.9908504231771,3.0,2.6104440106110314,3.5047696238325705,3
7,582.051536328125,584.0106298828125,3.0,2.397416886163053,2.648138160501671,3
8,920.1358099609375,919.6088777669271,1.0,0.8277284887643157,0.9061558730670206,1
9,331.5168689941406,332.67322794596356,3.0,2.678291468146317,3.4127021651124867,4
10,581.2515818359375,583.7812493489583,2.0,2.312141685757388,2.7907462068636733,3
11,254.4502576171875,254.25820255533853,3.0,3.52233892123802,3.9192031770903037,4
12,586.372610546875,587.5097516276041,3.0,2.406883228111806,2.7297474777279045,3
13,322.40376689453126,323.75669604492185,3.0,2.467656819662014,3.3549663949580797,3
14,244.12955415039062,243.82379553222657,3.0,3.589193731596449,3.971002995398697,4
15,251.81620966796876,251.74931803385417,4.0,3.4977741575182706,3.770690682686985,4
16,321.05238486328125,322.12766845703123,3.0,2.459690238130147,3.3911209236741775,3
17,244.44633525390626,244.4989992675781,3.0,3.6662694057142446,4.076944062637925,5
18,250.83009252929688,250.5822929280599,3.0,3.563960746953137,3.790873328956801,4
19,245.06085493164062,245.32140234375,3.0,3.6087269976071834,4.331212817474616,4
20,240.58052255859374,240.56486694335936,3.0,3.612390851666131,4.030052038042772,4
21,165.1317317138672,165.8498525797526,3.0,4.056759064246838,4.754059170175263,6
22,188.047444140625,188.35897420247395,3.0,4.110307958966314,4.517465232541871,6
23,214.68645395507812,215.37465625,3.0,3.941370897827667,4.4783970350876245,5
24,162.37620380859374,163.26313301595053,4.0,4.103431299768285,4.763466334596442,6
25,200.53938676757812,201.66904829915364,4.0,3.8531986153147693,4.28598066087922,5
26,234.10347021484375,234.7641875813802,3.0,3.7831083374230343,4.293978607132182,5
27,255.65220864257813,255.58262939453124,3.0,3.548551887440892,3.680605546249203,4
28,252.490303125,252.11960693359376,4.0,3.5288323573500904,3.767513368474055,4
29,174.25026635742188,175.20564485677085,4.0,4.103561723016879,4.75245863341068,7
30,176.2317565673828,176.67652482096355,4.0,4.020813237047243,4.504531996665019,6
31,177.5108896972656,178.82346728515626,4.0,3.964977697365341,4.6248810984987845,6
32,174.74346303710936,175.3288771158854,5.0,4.142157941282248,4.616778205814798,6
33,175.24021611328126,175.8991835123698,4.0,4.099091803071071,4.631193980240089,6
34,192.0558046875,192.35434440104166,4.0,4.115991489432937,4.856676355625937,6
35,162.67540483398437,163.61725549316407,4.0,4.012663928040472,4.85033965940067,6
36,167.8267785888672,168.57112833658854,4.0,4.128145139643994,4.79669543782161,6
37,203.4839731689453,203.89781315104167,4.0,3.963732375846626,4.323372941846263,6
38,229.76135263671875,229.97042447916667,4.0,3.8629792986404854,4.376130861682936,6
39,162.87689565429687,163.81796687825522,4.0,4.1224168299887385,4.81927128281734,8
40,168.03717426757814,168.75382645670572,4.0,4.2127483390293525,4.654470839888028,7
41,179.66045083007813,180.28828344726563,4.0,4.2008267275864855,4.743893574551289,7
42,177.353908203125,177.77415185546874,4.0,4.161288681705058,4.818122053117878,6
43,174.94439658203126,175.79358170572917,4.0,4.105784507098482,4.993983871662342,7
44,161.56522551269532,162.41088118489583,4.0,4.235393268342084,4.7706412149429855,7
45,187.50711010742188,188.41408081054686,3.0,4.082542237676383,4.687829925142323,7
46,180.255805078125,180.65364204915363,4.0,4.096844710429675,4.605132074506886,7
47,171.29820002441406,171.68736751302083,4.0,4.188697764165181,4.7401092149962905,7
48,152.15413864746094,153.19765584309897,5.0,4.238221881304813,4.776647127253264,7
49,161.1575953125,161.84869213867188,4.0,4.21795595543637,4.7229089062826795,6
50,164.73304267578126,165.13137418619792,4.0,4.242257067464217,4.783550666769749,7
51,144.288505078125,145.45729935709636,4.0,4.366091889074263,4.6415063561996375,8
52,155.35623032226562,156.4785089518229,4.0,4.224095644681043,4.838555469141337,7
53,164.775510546875,165.52355122884114,4.0,4.21390640404648,4.8321891947801205,7
54,165.32996716308594,166.5154248860677,4.0,4.106225452284531,4.891635375026738,7
55,160.8802444824219,161.67693107096355,4.0,4.145875667519875,4.88528820179373,8
56,165.279938671875,166.15825846354167,4.0,4.06336926953231,4.890276608343035,8
57,156.7553108886719,157.6025224609375,4.0,4.237462383634152,4.661055980476023,7
58,166.9240157470703,167.66785319010415,4.0,4.257840657917153,4.711179220328003,7
59,151.09823447265626,152.15009143066408,4.0,4.201665163724811,4.964206415487057,8
60,154.14167453613283,154.87237109375,5.0,4.146990629053687,4.877263921698516,8
61,141.65276411132814,142.57072090657553,4.0,4.267258580575905,4.8654296033223545,8
62,177.50008400878906,177.93738317871095,4.0,4.048916964034969,4.630731192891288,7
63,170.32459731445311,171.07563793945312,4.0,4.131544392251779,4.757417601669749,8
64,150.19865483398436,151.1883720703125,4.0,4.174123902142454,4.655807038814476,7
