dim,train_loss,val_loss,CorrInt,MLE,TwoNN,lPCA,PCA
2,930.61546484375,929.1056962890625,0.25144878016818933,,0.8264641846417907,1.0,1
3,640.000821484375,638.6086474609375,1.9314642555498769,2.0859672291668847,1.9538326286408505,1.0,2
4,653.739941015625,654.3899348958333,1.942732832741326,2.079398546479422,2.0004450642583294,2.0,2
5,705.644977734375,704.4510439453124,1.8444217712773656,2.0677448336114015,1.9605891284682218,2.0,2
6,328.8831203125,329.9908517252604,3.1790122327853463,3.492289647945192,3.54795227270915,3.0,3
7,582.0515362304687,584.0106292317708,2.6825317918183385,3.0081714377564865,2.880478523237492,3.0,3
8,920.1358126953126,919.6088793945313,0.3195491247932082,,0.8492371487707961,1.0,1
9,331.51686801757813,332.67322867838544,3.2174249968988953,3.47532360589882,3.5230528722949637,3.0,4
10,581.2515802734375,583.7812506510417,2.6191250701325344,3.0179728182827894,2.9678462300489246,2.0,3
11,254.4502571777344,254.25820345052082,3.6420220922267488,4.081742853806378,3.962853702190782,3.0,4
12,586.3726103515625,587.5097509765625,2.6628568465799303,3.0156172455134085,2.9774426612734493,3.0,3
13,322.40376669921875,323.75669604492185,3.131647806675819,3.437636513007852,3.56492767728458,3.0,3
14,244.12955424804687,243.82379516601563,3.6380058423226687,4.291524978328768,4.218722563047691,3.0,4
15,251.81621000976563,251.74931762695311,3.623131623552966,4.020903716091118,3.9573911626673977,4.0,4
16,321.05238466796874,322.12766927083334,3.093464942893423,3.4444490231465483,3.522641220524066,3.0,3
17,244.446334765625,244.4989997558594,3.799036466251679,4.364570059096723,4.415760750101681,3.0,5
18,250.83009252929688,250.58229341634114,3.660383724351506,3.9564098111481165,4.000783590866996,3.0,4
19,245.0608552734375,245.3214022623698,3.7304985171646377,4.391938204554253,4.324005411460204,3.0,4
20,240.5805224609375,240.56486653645834,3.651468277316235,4.220151595230933,4.104460496143062,3.0,4
21,165.13173159179686,165.84985282389323,4.159126068561483,5.111989768643353,4.879614545183387,4.0,6
22,188.0474439453125,188.3589745279948,4.171871722838028,5.041870422221207,4.897946181236977,3.0,6
23,214.68645356445313,215.3746570638021,3.967273732710499,4.733648091987404,4.63000645678487,3.0,5
24,162.37620346679688,163.2631329345703,4.146555268660179,5.149895873937143,4.871957812968073,4.0,6
25,200.53938662109374,201.669048055013,3.9811895798870043,4.802239796430973,4.643858650151,4.0,5
26,234.10347045898436,234.76418733723958,3.8711866604166323,4.5376298750427795,4.474120738360319,3.0,5
27,255.6522082519531,255.58262890625,3.656182764217331,4.003100910142469,3.900173858105379,3.0,4
28,252.49030278320313,252.11960660807293,3.6075204030618333,4.011350140692657,3.9680467060309597,3.0,4
29,174.2502666015625,175.20564493815104,4.094068853723785,5.165664038662005,4.949892700467262,4.0,7
30,176.2317565673828,176.67652482096355,4.16569343637766,5.155823083222054,4.938542544120702,4.0,6
31,177.51088999023438,178.823466796875,4.115567306745052,5.008975799798348,4.95964800896816,4.0,6
32,174.74346352539064,175.3288771158854,4.144192905711368,5.09481114058878,4.832066643975481,5.0,6
33,175.24021567382812,175.89918391927083,4.096582447047167,5.110848207015816,4.961129313486772,4.0,6
34,192.05580471191405,192.35434423828124,4.1765134103294725,5.118951627708445,4.860351040814059,4.0,6
35,162.67540512695314,163.61725590006512,4.1704587883927005,5.182675586598061,4.930830815855012,4.0,6
36,167.82677854003907,168.57112833658854,4.16491479475087,5.114236372401377,4.8392243136490825,4.0,6
37,203.4839733154297,203.89781327311198,4.1048381338265125,4.889793906719144,4.614742523118306,4.0,5
38,229.76135263671875,229.97042407226562,3.8371726904191115,4.6042832106629925,4.391954248830626,4.0,6
39,162.87689553222657,163.81796614583334,4.125747094019271,5.219628358462604,4.976545146576263,4.0,7
40,168.03717426757814,168.7538272705078,4.215312916774674,5.238204840858164,5.056079069082513,4.0,7
41,179.66045068359375,180.28828287760416,4.1827769647491895,5.145733378685699,4.848062973360669,4.0,7
42,177.35390805664062,177.77415144856772,4.182004144658123,5.155604425996803,4.846689838196152,4.0,6
43,174.9443966796875,175.79358121744792,4.177405009297481,5.171909772669652,4.911368654959501,4.0,7
44,161.56522541503907,162.41088061523436,4.244257366428729,5.276874988660529,4.968286374272869,4.0,7
45,187.5071103515625,188.414080078125,4.116189387901102,5.078120602288069,4.806397873532006,3.0,7
46,180.25580495605467,180.65364196777344,4.136617800121929,5.102145348287868,4.892809030487713,4.0,7
47,171.29819978027345,171.68736800130208,4.106578415739907,5.136885577949978,4.873949847178208,4.0,7
48,152.15413862304686,153.19765608723958,4.214293147050487,5.224692713290819,4.861957048949698,4.0,7
49,161.1575955078125,161.84869197591146,4.268516633553126,5.164122378635336,4.935576560581253,4.0,6
50,164.7330427734375,165.13137394205728,4.255919751889418,5.243995505495417,4.8325667817528375,4.0,7
51,144.28850498046876,145.45729886881512,4.21386675462454,5.317038101853598,4.950275787195688,4.0,8
52,155.35623076171876,156.4785087483724,4.221285525712354,5.276447554640711,5.034499831586882,4.0,7
53,164.77551108398438,165.52355114746095,4.149083512298257,5.246670607030626,5.025317138329182,4.0,7
54,165.32996735839845,166.51542521158854,4.1707024876093675,5.295402163291505,5.161801748546345,4.0,7
55,160.8802447265625,161.67693139648438,4.145787718759183,5.11699350862539,4.888682364585819,4.0,8
56,165.27993881835937,166.15825854492186,4.039419888247538,5.222623743571032,4.885075712346434,4.0,8
57,156.75531142578126,157.60252311197917,4.249041903858241,5.238924751640692,4.917977090949396,4.0,7
58,166.92401604003905,167.6678535970052,4.254956983327859,5.197274617011682,4.991492344990099,4.0,7
59,151.09823388671876,152.15009130859374,4.337729772865535,5.334123605976328,5.052415885926545,4.0,8
60,154.14167458496092,154.8723711751302,4.262621490061639,5.268669953454604,4.887178619794644,5.0,8
61,141.65276376953125,142.57072049967448,4.288294080136622,5.38605837395723,4.997871669124608,4.0,8
62,177.50008415527344,177.93738285319012,4.110514016007865,5.071535425729542,4.829201025488711,4.0,7
63,170.3245972167969,171.07563745117187,4.292971194863061,5.2384810026346456,4.902148477695195,4.0,7
64,150.19865463867188,151.18837182617187,4.214150577814166,5.216792448374275,4.925175623364554,4.0,7
